,product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
1060,B09J2SCVQT,NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (3 Jars 2 Blades),Home&kitchen,1969.0,5000.0,61.0,4.1,4927
1061,B00TDD0YM4,"Philips GC026/30 Fabric Shaver, Lint Remover for Woolen Sweaters, Blankets, Jackets/Burr Remover Pill Remover from Carpets, Curtains (White)",Home&kitchen,1490.0,1695.0,12.0,4.4,3543
1062,B078KRFWQB,"Havells Cista Room Heater, White, 2000 Watts",Home&kitchen,2499.0,3945.0,37.0,3.8,2732
1063,B07SRM58TP,"AGARO Regal 800 Watts Handheld Vacuum Cleaner, Lightweight & Durable Body, Small/Mini Size ( Black)",Home&kitchen,1665.0,2099.0,21.0,4.0,14368
1065,B0832W3B7Q,Pigeon By Stovekraft ABS Plastic Acer Plus Induction Cooktop 1800 Watts With Feather Touch Control - Black,Home&kitchen,1799.0,3595.0,50.0,3.8,9791
1066,B07WNK1FFN,"AGARO Esteem Multi Kettle 1.2 Litre, 600W with 3 Heating Modes & Rapid Boil Technology",Home&kitchen,1260.0,1699.0,26.0,4.2,2891
1067,B009P2LK08,"Bajaj Minor 1000 Watts Radiant Room Heater (Steel, ISI Approved)",Home&kitchen,749.0,1129.0,34.0,4.0,2446
1069,B07GMFY9QM,"SOFLIN Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking, Boiling and Frying (400 Watts, Blue)",Home&kitchen,379.0,999.0,62.0,4.3,3096
1070,B0BGPN4GGH,"Lifelong LLQH925 Dyno Quartz Heater 2 Power settings Tip Over Cut-off Switch 800 Watt Silent operation Power Indicator 2 Rod Room Heater (1 Year Warranty, Grey)",Home&kitchen,1099.0,2400.0,54.0,3.8,4
1071,B0B2DZ5S6R,"Amazon Basics 1500 W Electric Kettle (Stainless Steel Body, 1.5 L)",Home&kitchen,749.0,1299.0,42.0,4.0,119
1073,B01MY839VW,"Orient Electric Fabrijoy DIFJ10BP 1000-Watt Dry Iron, Non-Stick (White and Blue)",Home&kitchen,549.0,1090.0,50.0,4.2,13029
1074,B09LV1CMGH,"Lifelong LLFH921 Regalia 2000 W Fan Heater, 3 Air Settings, Room Heater with Overheating Protection, 1 Year Warranty ( White, (ISI Certified, Ideal for small to medium room/area)",Home&kitchen,899.0,2000.0,55.0,3.6,291
1075,B01EY310UM,"Philips GC181 Heavy Weight 1000-Watt Dry Iron, Pack of 1",Home&kitchen,1321.0,1545.0,14.0,4.3,15453
1076,B09NL7LBWT,"Bulfyss USB Rechargeable Lint Remover Fabric Shaver Pet Hair Remover, Effectively and Quickly Remove Fuzz for Clothes, Sweater, Couch, Sofa, Blanket, Curtain, Wool, Cashmere (Grey, 1 Year Warranty)",Home&kitchen,1099.0,1999.0,45.0,4.0,604
1079,B08TM71L54,"PHILIPS Handheld Garment Steamer STH3000/20 - Compact & Foldable, Convenient Vertical Steaming, 1000 Watt Quick Heat Up, up to 20g/min, Kills 99.9%* Bacteria (Reno Blue), Small",Home&kitchen,3190.0,4195.0,24.0,4.0,1282
1080,B0BPBXNQQT,"Room Heater Warmer Wall-Outlet 400 Watts Electric Handy Room Heater (Room Heaters Home for Bedroom, Reading Books, Work, bathrooms, Rooms, Offices, Home Offices,2022",Home&kitchen,799.0,1989.0,60.0,4.3,70
1081,B00W56GLOQ,"Wonderchef Nutri-blend Mixer, Grinder & Blender | Powerful 400W 22000 RPM motor | Stainless steel Blades | 2 unbreakable jars | 2 Years warranty | Online recipe book by Chef Sanjeev Kapoor | Black",Home&kitchen,2699.0,5000.0,46.0,4.0,26164
1082,B0883KDSXC,USHA Armor AR1100WB 1100 W Dry Iron with Black Weilburger Soleplate (Purple),Home&kitchen,599.0,990.0,39.0,3.9,16166
1083,B078V8R9BS,Butterfly EKN 1.5-Litre Electric Kettle (Silver with Black),Home&kitchen,749.0,1111.0,33.0,4.2,35693
1085,B01M5B0TPW,Borosil Chef Delite BCH20DBB21 300-Watt Chopper (Black),Home&kitchen,1819.0,2490.0,27.0,4.4,7946
1086,B082KVTRW8,KENT 16055 Amaze Cool Touch Electric Kettle 1.8 L 1500 W | Plastic Outer & Stainless Steel Inside body | Auto shut off Over heating protection | Multipurpose hot water Kettle | 1 Year Warranty,Home&kitchen,1199.0,1900.0,37.0,4.0,1765
1088,B07H3WDC4X,"Simxen Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking Also Boiling and Frying 400 W (Blue, Pink)",Home&kitchen,349.0,999.0,65.0,4.0,15646
1090,B083P71WKK,"HealthSense Weight Machine for Kitchen, Kitchen Food Weighing Scale for Health, Fitness, Home Baking & Cooking with Hanging Design, Touch Button, Tare Function & 1 Year Warranty – Chef-Mate KS 40",Home&kitchen,799.0,1500.0,47.0,4.3,9695
1093,B0949FPSFY,"Bulfyss Stainless Steel Digital Kitchen Weighing Scale & Food Weight Machine for Diet, Nutrition, Health, Fitness, Baking & Cooking (5Kgs, Stainless Steel, 2 Years Warranty)",Home&kitchen,799.0,1999.0,60.0,4.1,2162
1094,B08F47T4X5,"VR 18 Pcs - 3 Different Size Plastic Food Snack Bag Pouch Clip Sealer Large, Medium, Small Plastic Snack Seal Sealing Bag Clips Vacuum Sealer (Set of 18, Multi-Color) (Multicolor)",Home&kitchen,89.0,89.0,0.0,4.2,19621
